Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a02a3f43-b6f4-d209-4062-af0cec3b22c1,2015-08-01,,999-99-5386,,,,Jacobo456,Patricio639,Malave728,,,,white,hispanic,M,Gaudalajara  Jalisco  MX,530 Zboncak Landing Suite 63,Montebello,California,Los Angeles County,6037,90022,34.012467415112646,-118.14746462284438,33339.29,4690.13,65295
59844213-b884-17cb-59e9-c07a73a06f41,1976-11-03,,999-75-8169,S99979659,X1180695X,Mr.,Frederick289,Galen747,Breitenberg711,,,M,asian,nonhispanic,M,Oroville  California  US,227 Stiedemann Union Suite 28,Brea,California,Orange County,6059,92870,33.9393011179221,-117.76723948180056,6183.29,235528.06,20100
a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,1994-02-26,,999-53-6488,S99963995,X65578833X,Mr.,Luther918,Monroe732,MacGyver246,,,M,white,nonhispanic,M,Richmond  California  US,250 Morar Fork Apt 66,Los Angeles,California,Los Angeles County,6037,90066,33.803958143636194,-118.16499538672404,21978.57,63792.00,41800
d92132ce-06ac-3ab4-217f-97257a290b22,2011-09-25,,999-65-7810,,,,Dannette613,Darcie474,Bauch723,,,,white,nonhispanic,F,Berkeley  California  US,593 Doyle Ranch,Lemon Hill,California,Sacramento County,,00000,38.55092979196755,-121.40955183225064,2798.49,141417.37,31770
92675303-ca5b-136a-169b-e764c5753f06,1998-05-08,,999-62-9859,S99963661,X20663148X,Mr.,Lorenzo669,Julio255,Urrutia540,,,,white,hispanic,M,Carolina  Puerto Rico  PR,386 Altenwerth Orchard Apt 67,Glendale,California,Los Angeles County,6037,91210,34.21521949034581,-118.20846654003923,110145.10,3288.27,88407
54f1059e-6250-3949-6dd0-1dda9b85d22a,2003-02-12,,999-28-3364,S99936929,X15345756X,Ms.,Fredricka415,Matha641,Crist667,,,,white,nonhispanic,F,San Jose  California  US,931 Bartell Ville Apt 84,Irvine,California,Orange County,6059,92676,33.74517092481692,-117.74997027981273,56198.94,133887.30,330702
239ae86a-96db-6211-9042-d3f2850aabb8,1970-06-17,,999-74-7366,S99962894,X13153521X,Mr.,Darrell400,Harry448,Muller251,,,D,white,hispanic,M,Dublin  California  US,541 Stracke Plaza,San Jose,California,Santa Clara County,6085,95140,37.30226576037261,-121.96683622886896,10675.97,194000.08,3928
ae8722c8-8fe3-3bf6-9ae3-d25954bcb8b8,1965-02-19,,999-42-9609,S99923573,X35991744X,Mrs.,Yong583,Oralia106,Friesen796,,Turcotte120,M,white,nonhispanic,F,Apple Valley  California  US,113 Oberbrunner Trail Suite 11,Santa Ana,California,Orange County,6059,92703,33.70156373541448,-117.85518759005726,476303.99,1632174.27,48846
28d7b56c-6056-d0a2-2991-39d6e917216c,1999-12-04,,999-31-6091,S99930609,X32352139X,Ms.,Angela104,Bella510,Funk324,,,,white,hispanic,F,Orange  California  US,677 Bosco Extension,Isla Vista,California,Santa Barbara County,6083,93117,34.498327715195025,-120.05797683062254,8435.24,302054.19,10451
abc59f62-dc5a-5095-1141-80b4ee8be73b,1996-06-13,,999-37-1058,S99918022,X63553287X,Mrs.,Jacque955,Jin479,Satterfield305,,Will178,M,white,nonhispanic,F,Santa Cruz  California  US,492 Keebler Estate,Fairfield,California,Solano County,6095,94585,38.18324005715623,-121.9588555053258,348990.79,186000.37,41915
6f3ec64a-c315-2b26-5973-21ef2f09160f,1981-10-28,,999-14-3900,S99972011,X10902702X,Ms.,Velvet616,Belia417,Legros616,,,S,white,nonhispanic,F,Riverside  California  US,893 McGlynn Gateway Apt 0,San Ramon,California,Contra Costa County,6013,94583,37.770453690112504,-121.91869105402458,201455.77,1289721.88,162127
